Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Male,21,Mathematics,75.725,50.57,54.74,86.61,63.95,9.49,96.7,52.43,D,17.9,Yes,Yes,Master's,Medium,7,6.7
Female,22,CS,53.95,89.05,40.01,83.02,95.79,3.74,50.59,78.51,D,10.8,No,Yes,Master's,Medium,10,4.1
Male,19,Mathematics,61.27,82.55,97.85,97.95,87.27,7.01,76.59,75.36,B,10.9,Yes,No,Bachelor's,Medium,1,7.7
Female,23,CS,75.29,87.12,47.85,58.4,67.33,2.13,63.94,92.56,F,12.5,Yes,Yes,PhD,Low,6,8.1
Female,24,CS,80.3,45.1,76.29,83.42,65.23,4.45,93.5,50.22,C,21.1,Yes,Yes,Bachelor's,Medium,5,7.4
Female,19,CS,89.01,89.27,48.31,84.89,79.68,1.7,92.46,96,A,15.6,Yes,Yes,Bachelor's,Low,6,4.1
Male,21,Mathematics,98.28,41.72,86.83,65.79,88.31,6.9,99.5,80.35,A,29.8,Yes,No,Master's,Low,5,7.5
Male,22,Engineering,59.03,96.35,41.93,74.81,77.02,8.87,86.75,75.37,D,12.1,No,Yes,High School,High,10,6
Female,18,Business,79.73,42.6,81.39,80.64,96.38,5.67,67.78,57.58,B,7.8,Yes,Yes,Master's,Medium,1,8
Male,19,Business,75.725,76.87,44.82,80.65,79.64,5.74,54.68,52.12,F,22,No,Yes,Bachelor's,Medium,8,4.3
Male,21,Engineering,66.74,81.6,54.19,86.28,92.48,6.19,83.35,75.13,F,23.8,No,Yes,Master's,Low,9,5.6
Male,18,Business,97.57,58.3,41.78,67.43,51.88,4.57,86.52,61.18,B,14.7,No,Yes,High School,Medium,6,4.2
Male,21,Engineering,89.12,42.88,94.44,90.89,95.96,7.59,56.12,58.86,B,11.7,No,No,PhD,High,5,4.5
Female,23,Engineering,74.21,78.2,84.3,95.21,86.16,8.5,96.62,92.42,C,14.1,No,Yes,High School,High,10,5.7
Female,23,Business,87.56,85.76,60.77,81.93,74.53,6.39,65.09,83.22,A,10.9,No,Yes,PhD,Medium,4,6.1
Male,23,Mathematics,88.02,90.95,64.34,74.79,73,1.61,95.17,59.6,A,29.7,Yes,No,PhD,Low,8,7
Female,24,Engineering,69.45,75.24,47.14,55.75,91.87,9.19,55.87,72.85,B,22.6,No,Yes,Master's,Low,6,8.5
Male,22,Business,87.58,49.67,84.89,54.37,65.92,3.67,96.68,77.47,A,14.7,No,Yes,High School,Medium,2,5.8
Male,24,CS,69.34,40.91,76.09,89.07,73.14,9.64,88.97,72.93,D,23.8,Yes,Yes,Master's,Low,4,5.7
Male,20,Business,75.725,82.05,61.85,57.8,60.03,4.02,69.54,69.88,D,16.7,No,Yes,PhD,High,3,7.1
Female,22,CS,64.62,79.05,75.61,91.55,83.02,8.85,50.96,82.81,C,17.2,No,Yes,Bachelor's,Medium,6,6.3
Female,24,CS,77.57,88.79,86.72,80.61,55.85,7.95,68.79,81.97,B,24.3,Yes,Yes,PhD,Low,10,8.3
Male,22,Engineering,65.96,66.05,58.74,80.24,59.39,7.86,85.27,94.59,B,9.5,Yes,Yes,Bachelor's,Medium,1,5.8
Male,19,Mathematics,74.62,96.4,52.86,74.81,52.19,8.79,86.93,78.36,B,8,No,No,Bachelor's,High,4,7.3
Male,18,Mathematics,76.16,76.92,99.35,98.39,93.17,4.7,78.65,88.94,F,25.5,No,Yes,PhD,Low,5,4.1
Male,23,Business,68.12,96,40.8,61.15,92.31,9.13,98.37,57.1,B,21.8,Yes,Yes,Bachelor's,Medium,3,8.1
Female,22,CS,62.39,95.9,58.37,60.73,67.39,6.66,86.42,75.65,F,28,No,Yes,High School,Low,2,6.4
Female,24,CS,70.43,74.33,43.72,52.86,67.4,1.33,95.73,76.23,D,15,No,No,Bachelor's,Low,6,4.5
Female,19,Business,75.79,57.86,58.98,82.91,96.83,5.2,62.11,99.17,A,8.3,Yes,Yes,PhD,Low,4,8.8
Male,24,Engineering,87.31,99.83,64.35,77.45,51.29,6.37,85.68,99.55,A,29.4,Yes,Yes,High School,High,7,5.5
Male,22,CS,61.08,64.51,44.83,68.23,79.87,2.8,96.21,73.65,D,16.9,No,Yes,High School,Low,9,6.4
Female,21,Mathematics,75.725,64.95,63.73,66.57,97.59,8,63.98,65.99,A,19.3,No,Yes,High School,Medium,9,4.8
Male,23,CS,66.21,89.41,42.36,50.38,83.56,5.81,61,88.57,A,27.8,No,Yes,Bachelor's,Medium,7,7.4
Male,22,Business,75.09,90.41,96.77,62.63,98.36,7.89,73.52,56.93,A,23.6,No,Yes,Master's,Low,2,8
Male,19,CS,61.61,83.33,75.86,85.74,83.35,8.13,59.59,76.87,F,18.6,No,Yes,High School,Low,9,7.7
Female,18,Mathematics,75.725,95.78,63.19,51.06,69.09,6.69,76.91,76.37,F,27.4,No,Yes,Bachelor's,Low,1,5.9
Male,23,CS,77.36,63.23,44.79,99.7,54.26,6.53,92.65,68.43,A,10,Yes,Yes,High School,Medium,9,5
Female,19,CS,72.47,96.81,95.97,92.98,73.21,1.6,68.23,91.15,B,10.7,No,Yes,High School,Low,4,7.4
Female,24,Mathematics,75.725,69.89,99.18,74.81,58.87,7.25,63.45,87.56,A,14.3,No,Yes,Bachelor's,High,7,4.4
Male,18,CS,78.05,46.92,56.7,62.19,94.28,5.42,54.78,60.24,B,22.2,No,Yes,PhD,Low,10,8.9
Male,22,Engineering,90.88,82.65,82,72.56,55.19,1.05,90.88,76.81,A,29.3,Yes,Yes,Bachelor's,High,3,6.8
Male,18,CS,87.66,90.82,45.24,61.17,72.72,4.78,98.47,50.95,B,10.2,Yes,Yes,High School,High,6,4.8
Male,22,Mathematics,71.67,56.88,46.51,64.05,82.57,6.03,96.46,55.17,C,10.8,No,Yes,Bachelor's,Medium,5,6.6
Male,18,Engineering,77.37,87.58,78.44,74.81,66.31,5.63,71.78,61.47,C,24.2,No,Yes,Master's,High,5,6.5
Male,18,Engineering,54.49,83.89,67.95,84.3,71.2,3.19,99.62,94.7,D,8.1,No,Yes,Bachelor's,Low,1,7.7
Male,24,Mathematics,91.47,62.88,97.63,84.48,77.93,3.74,70.49,87.65,A,5.2,No,Yes,Master's,Low,4,6.8
Male,23,CS,52.98,60.83,96.29,78.62,57.35,3.92,55.65,76.25,C,15,No,Yes,PhD,Medium,5,7.5
Female,23,Engineering,58.47,90.48,94.17,84.47,69.79,7.62,93.39,55.26,D,22.4,No,Yes,Master's,High,9,7
Female,20,Mathematics,89.79,42.12,94.59,99.09,68.71,4.31,73.82,87.75,A,26.7,No,Yes,PhD,Low,1,7.9
Male,24,CS,75.725,47.36,47.94,92.9,65.73,6.7,85.9,66.48,D,26.8,Yes,Yes,PhD,Low,4,4.8
Female,23,Engineering,75.47,99.11,41.41,50.27,74.85,5,70.67,58.59,D,11.6,Yes,Yes,Bachelor's,Medium,9,8.4
Female,23,CS,86.27,54.12,47,64.91,59.67,6.46,57.78,92.29,A,8.7,No,No,Master's,Medium,6,4.5
Female,21,CS,80.42,66.1,79.83,72.7,56.63,3.68,97.87,74.55,C,5.6,Yes,Yes,High School,High,6,6.4
Female,18,Mathematics,70.07,52.29,87.6,62.8,87.94,3.87,84.74,78.77,A,10.4,No,Yes,PhD,Medium,9,7.7
Male,21,Engineering,69.26,68.23,69.3,86.17,88.51,5.63,69.83,91.05,C,16,No,Yes,PhD,Low,10,5.4
Male,21,Mathematics,50.18,98.81,48.53,63.49,89.54,4.43,78.16,64.47,F,12.7,No,Yes,Master's,Medium,7,7.4
Female,21,CS,80.67,51.72,93.07,92.69,64.67,5.93,77.19,91.89,B,8.8,Yes,Yes,Bachelor's,High,7,8
Female,20,Engineering,88.88,88.18,71.9,65.21,73.96,6.69,74.29,93.04,A,24.1,Yes,Yes,PhD,Medium,10,5.8
Female,22,CS,75.21,74.54,81.93,74.81,86.13,3.18,92.85,99.36,D,18.5,Yes,Yes,High School,High,5,7.9
Male,18,CS,63.49,94.01,98.64,79.9,85.55,8.2,75.37,53.48,A,22.2,Yes,Yes,High School,Low,9,6.1
Male,19,Mathematics,72.76,56.89,52.32,74.67,65.97,0.12,62.55,94.77,A,20.2,No,Yes,Master's,Low,9,5.2
Male,20,Business,58.5,64.8,94.96,77.3,86.79,3.08,69.01,98.68,D,26.3,No,Yes,Master's,Medium,9,7.6
Female,21,CS,60.03,98.8,53.93,92.42,77.97,6.05,70.53,60.09,C,17,Yes,Yes,High School,Low,4,5.2
Female,23,Engineering,63.17,49.5,42.52,91.06,60.85,0.8,96.6,64.8,B,11,No,Yes,PhD,High,2,4.2
Male,20,Business,59.99,94.87,69.11,73.47,88.44,5.03,75.24,91.86,C,25.7,No,Yes,High School,Low,8,5.5
Female,23,Business,73.68,84,60.92,97.65,84.13,3.4,97.94,77.11,F,29.6,No,Yes,Bachelor's,High,10,4.3
Male,19,Engineering,86.62,62.62,73.62,95.54,50.11,8.37,90.8,94.75,B,18.7,No,Yes,Master's,High,5,4.9
Female,22,CS,84.67,63.67,51.28,86.13,99.85,9.13,73.85,74.11,B,20.7,No,Yes,Bachelor's,Medium,6,4.9
Female,18,CS,89.62,67.59,69.22,64.09,60.53,9.4,53.75,78.2,A,23.6,Yes,No,Bachelor's,Medium,5,7
Male,18,Engineering,75.725,55.65,77.03,84.3,96.35,6.79,57.61,61.96,F,16.9,No,Yes,Bachelor's,Low,6,7.3
Male,20,CS,71.99,48.47,60.18,54.07,89.95,4.88,64.97,50.88,C,25.8,No,Yes,High School,Medium,7,6.1
Female,22,Business,84.87,66.41,51.31,57.07,98.82,8.98,56.38,89.88,C,5.9,Yes,Yes,Master's,Low,2,9
Female,21,CS,81.7,56.92,55.34,74.81,93.02,4.56,95.88,88.8,F,10.2,Yes,Yes,Master's,Low,9,5.9
Female,22,Engineering,51.22,70.94,62.44,74.81,57.14,9.2,89.46,95.62,F,17.9,No,Yes,High School,Low,9,5
Male,22,Engineering,63.4,84.38,49.88,54.92,92.29,3.33,57.93,85.73,D,23.9,No,No,Master's,High,10,4.7
Female,18,Business,64,66.29,80.36,87.08,73.85,0.91,97.46,59.1,A,13.6,No,Yes,Master's,Medium,6,5
Male,20,CS,96.52,56.38,62.94,74.48,82,1.36,74.09,79.63,B,17,No,Yes,Master's,Medium,9,9
Female,21,CS,90.27,99.26,43.53,68.6,50.17,6.93,92.09,94.01,A,7.9,No,Yes,PhD,Low,6,6.2
Female,19,Engineering,81.91,59.98,78.77,93.51,88.22,6.23,84.79,78.08,C,11.2,No,Yes,Master's,Medium,1,8.7
Female,22,Business,78.27,75.12,63.02,97.21,63.85,6.06,86.03,93.82,A,23.3,Yes,Yes,PhD,Low,10,7.6
Male,18,CS,98.33,67.96,83.65,61.95,50.07,0.79,54.84,93.57,A,6.9,No,Yes,Bachelor's,High,2,5
Female,18,Business,86.35,76.32,71.66,74.69,96.96,6.75,61.24,60.98,A,29.1,No,Yes,Master's,High,8,4.9
Female,24,CS,99.64,45.65,96.49,79.16,72.74,2.36,98.15,71.95,A,27.4,Yes,Yes,High School,Medium,7,7
Female,19,CS,82.55,93.04,77.15,56.13,55.11,9.12,66.76,58.73,D,7,Yes,Yes,PhD,Low,1,4.1
Female,23,Business,60.87,72.63,83.54,94.47,83.71,6.67,63.42,59.03,F,25.6,No,Yes,Master's,High,6,6.9
Male,18,CS,60.19,42.41,56.96,81,94.79,3.68,71.1,74.39,D,7.6,No,Yes,PhD,Low,10,8.1
Male,18,CS,66.23,95.19,75.34,79.86,71.9,4.15,64.55,98,D,25.7,Yes,Yes,Bachelor's,High,5,7.9
Male,21,CS,84.08,92.12,64.27,81.41,98.97,1.41,60.4,92.69,C,8.8,Yes,Yes,High School,Medium,5,5.1
Male,24,Business,71.7,58.03,77.93,93.71,93.37,5.34,79.44,50.17,C,10.3,Yes,Yes,Bachelor's,Low,1,6.9
Female,20,Business,90.76,88.95,53,64.31,91.02,0.05,61.16,54.33,A,28.2,Yes,Yes,Bachelor's,Low,10,8.8
Female,22,CS,67.96,43.68,44.49,62.01,64.76,9.79,82.38,58.1,C,12.5,Yes,Yes,Bachelor's,Medium,6,4.9
Male,23,CS,86.06,67.48,89.9,84.98,50.25,4.31,88,89.33,A,10.3,Yes,Yes,High School,Medium,4,5.6
Female,23,Engineering,72.17,78.24,64.06,98.38,71.72,2.87,76.05,82.49,A,16.5,No,Yes,Master's,High,4,6
Female,20,Engineering,75.05,98.1,54.21,72.86,81.61,4.43,61.97,69.09,A,28.6,No,Yes,PhD,Low,10,4.9
Female,21,CS,88.72,61.65,95.42,50.76,52.43,5.11,82.93,68.55,A,20.3,No,Yes,High School,Low,8,5.4
Female,22,CS,75.725,83.14,74.4,81.23,92.13,6.47,99.2,73.88,C,25.2,No,Yes,Bachelor's,High,7,4.1
Female,20,Mathematics,88.97,96.33,66.46,99.13,69.6,1.24,87.02,55.35,B,24.5,No,Yes,Bachelor's,Medium,6,7.1
Female,18,Engineering,93.93,69.28,90.21,91.11,50.61,8.55,83.64,77.76,B,13.1,No,Yes,PhD,Low,10,4.2
Female,23,Business,89.18,49.8,96.48,89.48,63.82,5.6,90.35,67.83,A,7.3,No,Yes,PhD,Low,6,5.9
Male,19,CS,75.725,40.56,96.58,60.7,96.55,1.7,77.97,86.3,F,7.2,No,Yes,Bachelor's,High,7,4.6
Female,20,CS,99.02,77.46,64.25,60.89,80.78,2.27,96.67,95.87,B,23,Yes,Yes,Master's,Medium,5,6.3
Female,20,Business,75.725,49.11,94.47,73.96,67.11,6.23,77.43,97.4,A,8.6,No,Yes,Master's,Medium,6,5.4
Female,23,CS,76.97,52.55,89.12,95.08,88.92,3.04,96.59,95.32,D,29.8,No,Yes,High School,Medium,10,5
Female,21,CS,96.02,79.1,53.13,50.11,75.21,8.41,55.82,93.61,A,26.8,No,No,High School,High,6,4.8
Female,21,Mathematics,75.725,58.07,69.92,74.81,51.41,7.92,56.62,71.72,F,11.1,No,Yes,Bachelor's,Low,4,5.1
Female,20,CS,83.59,54.71,95.09,99.19,79.61,4.34,93.06,72.75,B,28.2,No,Yes,PhD,High,5,8.7
Female,20,CS,75.725,73.21,55.31,84.55,89.75,9.97,50.99,88.01,B,15.6,No,Yes,Master's,Medium,9,6.7
Male,21,Engineering,98.64,67.14,49.76,94.41,61.79,9.41,58.13,54.28,A,12,No,Yes,High School,Medium,7,5.2
Female,20,CS,75.725,75.38,96.79,95.94,74.57,5.39,79.5,65.03,A,23.8,Yes,Yes,Master's,High,1,7.3
Male,21,Engineering,75.725,87.47,74.36,98.79,73.25,6.76,65.05,79.7,C,9,Yes,Yes,PhD,Low,9,5.5
Male,23,CS,58.13,93.38,76.59,74.81,98.59,1.27,91.15,54.77,C,11.4,No,Yes,High School,Low,6,5.3
Male,24,Business,79.5,49.35,89.74,70.6,75.25,0.57,81.12,62.37,A,7.2,No,Yes,Bachelor's,Medium,1,8.3
Female,24,CS,96,48.89,41.73,56.46,57.44,4.23,65.94,56.48,B,12.4,No,Yes,Bachelor's,Medium,3,7.7
Female,21,Engineering,69.84,78.66,71.25,74.81,89.68,6.78,88.92,66.58,F,8.4,No,Yes,PhD,Medium,8,4.6
Female,19,Business,75.725,74.05,62.23,76.67,75.56,2.46,70.01,86.51,C,10.2,No,Yes,Master's,Medium,7,7.7
Male,19,Business,51.13,43.05,45.37,93.65,96.03,4.81,87.36,82.67,C,13.6,No,Yes,High School,Medium,9,7.8
Female,22,Engineering,57.38,76.56,79.67,90.39,75.01,6.6,56.04,52.98,D,7.3,No,Yes,High School,Medium,5,4.9
Female,19,Engineering,51.32,76.84,78.07,82.61,61.34,7.61,89.8,66.67,D,14,No,Yes,Bachelor's,Medium,4,6.1
Male,23,CS,99.5,69.98,86.17,92.04,50.14,4.81,58.06,98.92,B,13.1,No,Yes,Master's,Low,3,7.6
Male,22,CS,99.79,70.98,79.01,79.53,81.56,0.6,94.61,53.53,B,15.4,No,Yes,Master's,Low,8,4.9
Male,19,Engineering,51.66,56.95,80.66,58.43,54.4,3.01,93.8,63.93,F,8.9,No,Yes,PhD,High,2,8.5
Female,23,CS,80.31,99.77,86.46,98.63,72.9,0.52,62.96,97.08,D,17.7,No,Yes,High School,Low,4,5.1
Male,21,Business,76.74,76.18,82.56,65.24,56.63,0.46,69.61,55.32,D,28.6,No,No,High School,Medium,7,4.5
Female,19,CS,75.1,50.15,50.31,93.96,70.6,2.03,64.87,64.58,B,9.2,No,Yes,Master's,Medium,1,5.6
Male,22,Engineering,76.26,88.32,82.84,80.03,67.8,6.36,79.74,56.11,C,8,No,Yes,Master's,Medium,4,7.5
Female,18,Engineering,84.48,63.65,49.38,90.94,74.33,8.52,72.13,64.09,B,9.9,No,Yes,PhD,Low,7,7.1
Female,22,CS,55.37,54.12,64.53,61.82,71.49,9.26,52.31,66.36,F,20.5,No,Yes,High School,Medium,5,6.7
Male,23,Engineering,56.98,50.52,94.14,63.29,89.92,0.87,60.15,90.87,D,11.1,No,Yes,High School,High,2,4.6
Male,21,Engineering,66.06,98.62,40.55,67.51,78.41,2.48,97.68,94.09,F,20.7,No,Yes,High School,Medium,7,6.5
Male,19,CS,75.725,85,51.8,90.24,53.72,8.27,74.13,98.73,B,12.5,No,Yes,PhD,Low,2,5.7
Female,22,CS,94.11,94.87,76.44,97.42,88.25,3.97,92.07,84.15,A,29.7,Yes,Yes,Master's,Medium,5,6.4
Male,19,Business,57.84,65.2,59.14,89.3,84.76,9.53,71.08,57.38,C,14.4,Yes,Yes,Bachelor's,Low,2,8.8
Female,19,CS,65.92,86.28,50.14,61.4,87.9,4.64,56.39,59.75,F,10,Yes,Yes,Bachelor's,Medium,10,5.9
Female,19,Business,75.725,78.87,97.17,66.08,70.79,7.72,63.84,56.44,B,6.1,No,Yes,High School,Low,1,6.8
Female,24,Engineering,69.56,96.28,70.76,92.36,67.17,4.28,54.17,66.45,F,14.4,Yes,Yes,Master's,High,3,8.4
Male,24,Mathematics,84.98,76.62,55.69,64.15,83.5,8.92,76.7,99.95,C,6.9,No,Yes,PhD,Low,5,8.4
Male,22,CS,75.725,74.81,59.1,88.11,77.42,5.71,74.51,97.84,C,21.1,No,Yes,Master's,Medium,6,7.4
Male,19,Business,61.5,89.27,45.65,52.29,68.33,6.91,58.15,90.18,A,9.1,No,Yes,Bachelor's,High,2,4.3
Male,24,Business,53.37,60.24,82.92,72.02,66.17,4.42,92.26,51.09,D,6.7,No,Yes,High School,High,2,6.4
Female,23,CS,80.47,41.32,51.28,90.81,81.97,4.74,79.05,59.03,B,23,No,Yes,Bachelor's,Medium,1,8.9
Male,24,Engineering,68.36,78.89,61.97,64.28,64.76,1.3,65.79,62.77,C,17.8,Yes,Yes,Master's,High,9,7.8
Male,22,Business,75.725,73.73,90.57,56.18,96.57,2.44,80.09,51.37,D,27.7,Yes,Yes,High School,Medium,4,4.6
Male,21,CS,73.75,91.97,52.34,86.43,90.79,9.83,69.76,95.43,B,15.5,Yes,Yes,Bachelor's,Low,6,7
Male,24,CS,69.42,76.18,74.62,62.07,99.38,2.36,55.38,72.79,C,5.2,No,Yes,High School,High,8,5.5
Female,23,Engineering,67.13,88.95,40.32,91.77,76.54,3.67,98.47,53.9,A,22.8,No,Yes,PhD,Medium,5,8.1
Male,19,CS,51.09,58.74,82.78,73.48,78.46,2.75,58.73,74.9,F,6.2,Yes,Yes,PhD,Low,3,4.2
Male,23,CS,68,53.72,64.86,66.15,91.81,0.4,81.66,76.2,B,12,No,Yes,Bachelor's,Low,9,7.3
Male,22,CS,75.725,85.57,80.41,74.81,57.11,4.97,50.27,84.74,F,26.8,No,Yes,High School,High,6,4.8
Male,24,CS,57.27,51.23,88.64,75.84,80.74,3.94,54.74,53.54,D,22,No,Yes,High School,High,2,5.8
Female,20,CS,88.93,84.19,42.02,68.64,70.95,8.19,54.75,51.75,A,7.8,Yes,No,High School,Low,5,5.8
Female,18,Business,94.61,63.65,42.46,96.12,87.54,6.98,82.35,56.79,A,14,No,Yes,Bachelor's,High,6,7
Male,24,CS,85,87.73,60.04,53.3,83.41,7.07,64.15,54.47,F,21.2,No,Yes,PhD,Low,9,6.8
Male,22,Business,84.01,91.04,94.39,74.81,53.61,0.62,93.25,84.69,B,18.1,No,Yes,Master's,Low,6,5.1
Female,18,Business,75.725,80.08,87.61,74.81,83.73,8.11,56.23,53.87,C,10.6,No,Yes,Master's,Low,4,4.9
Female,22,CS,76.31,82.8,87.99,75.29,89.27,0.99,51.76,79.35,C,23.8,Yes,Yes,PhD,High,4,5.1
Male,20,CS,75.725,87.78,71.73,53.64,51.54,8.8,55.59,78.84,C,9.9,Yes,Yes,PhD,High,8,6.4
Male,23,Business,96.58,94.28,76.67,61.94,99.63,2.25,60.75,98.91,A,13,No,Yes,High School,Low,10,6.4
Female,19,Engineering,74.55,72.63,89.89,74.81,60.14,8.91,75.75,60.11,C,24,No,Yes,PhD,Low,8,6.6
Female,19,CS,96.09,92.19,54.13,76.46,98.33,6.75,64.07,69.16,A,19.6,No,Yes,Master's,Medium,2,4.3
Male,24,CS,63.29,65.47,47.68,53,52.82,1.09,93.31,79.59,B,23.7,Yes,Yes,PhD,Medium,8,4.3
Male,22,Business,96.72,59.52,95.61,74.29,88.73,5.16,51.26,82.54,A,12.3,No,Yes,PhD,Low,3,6.9
Male,24,Business,62.03,65.3,98.32,74.81,75.15,0.69,52.5,81.27,C,12.9,No,Yes,High School,Medium,6,4.8
Female,23,CS,63.7,46.57,48.54,55.55,73.73,1.51,79.52,88.7,D,13.7,No,Yes,Master's,Low,1,8.8
Male,22,CS,96.04,54.85,93.48,84.96,65.1,9.94,83.52,73.33,A,16.6,No,Yes,High School,Medium,7,4.1
Male,19,Engineering,75.725,92.95,59.72,53.18,76.99,8.71,81.03,66.08,F,17.5,No,Yes,Bachelor's,Medium,5,5.7
Female,20,CS,80.48,61.65,40.76,93.3,62.42,1.33,77.07,76.94,D,17.1,Yes,Yes,Bachelor's,Medium,4,8
Female,24,Mathematics,87.44,73.25,85.85,51.14,96.72,6.27,61.56,91.36,A,23.4,No,Yes,PhD,Low,4,7.8
Female,24,Engineering,75.28,79.96,70.55,54.43,87.86,3.79,92.05,52.25,D,21.2,No,Yes,High School,Medium,8,8
Female,19,CS,71.16,93.46,42.14,98.25,63.66,0.74,62.06,95.27,D,20.4,No,Yes,Bachelor's,Low,9,5.5
Female,22,Business,92.63,58.29,89.17,65.33,67.18,0.48,69.24,55.27,A,26,Yes,Yes,Master's,Medium,10,7.8
Male,22,Mathematics,70.04,61.89,61.16,51.07,90.7,1.26,94.71,82.06,D,19.2,Yes,Yes,High School,Medium,3,7.4
Female,22,Engineering,77.26,90.1,95.39,68.29,87.31,9.07,86.09,51.46,B,8.7,No,Yes,PhD,Low,10,4.3
Female,19,Engineering,96.63,53.42,45.76,81.56,75.49,7.29,62.04,92.93,B,7.4,No,Yes,Master's,Low,8,6.7
Male,22,Engineering,75.725,86.34,64.69,70.94,83.89,2.73,82.38,52.38,C,22.1,No,Yes,PhD,Medium,3,7.4
Female,23,CS,78.06,67.39,64.41,69.5,61.86,8.66,97.73,67.4,B,22.2,No,Yes,High School,Medium,4,5.3
Male,19,Business,79.8,46.45,93.3,74.81,66.18,8.14,81.12,69.74,B,16.3,No,Yes,Bachelor's,Low,1,7
Female,18,CS,59.26,84.96,48.06,62.31,58.56,2.65,95.75,86.38,F,9.9,No,Yes,PhD,Low,8,6.8
Male,21,Engineering,77.74,44.38,97.24,93.13,80.42,2.89,55.63,87.63,C,21.2,No,Yes,PhD,Medium,1,5.5
Male,21,CS,86.11,79.57,75.58,79.45,52.57,9.81,67.94,59.62,A,22.3,No,Yes,PhD,High,1,6.6
Female,18,CS,95.2,82.96,77.58,73.93,77.48,8.89,74.72,95.59,A,9.9,Yes,Yes,Master's,Low,6,4.5
Male,23,CS,75.725,50.69,52.76,82.03,55.65,1.09,96.21,83.4,C,8.9,No,Yes,High School,High,1,6.6
Male,19,CS,73.41,96.47,97.27,72.98,67.19,9.07,89.97,56.3,F,28.5,Yes,Yes,PhD,Medium,4,6
Female,18,CS,86.16,48.84,43.6,65.88,88.36,6.19,76.74,60.68,B,19,Yes,No,High School,High,5,4.2
Male,21,CS,96.54,76.68,92.99,85.83,61.28,6.93,53.91,78.08,A,10.7,No,Yes,Bachelor's,High,8,8.1
Female,20,Engineering,56.92,59.99,96.17,76.65,80.18,2.04,88.27,69.91,D,29.2,No,Yes,PhD,Medium,10,6.8
Male,24,Business,75.725,82.03,61.03,74.81,84.37,9.35,56.16,60.49,F,11.4,Yes,Yes,High School,Low,7,6
Male,19,CS,97.42,94.97,62.78,97.87,64.74,5.27,82.07,97.64,A,25.4,No,Yes,High School,Low,9,4.7
Female,23,CS,75.93,92.21,83.09,84.12,88.8,3.97,86.3,78.38,C,13.8,No,Yes,Bachelor's,Medium,10,4.9
Female,19,Engineering,88.95,53.12,83.18,54.95,67.38,6.02,71.77,81.56,A,29.9,No,Yes,PhD,Low,8,5.3
Male,18,Mathematics,78.1,67.36,68.78,60.39,76.27,3.53,84.66,92.02,F,25.4,No,Yes,PhD,Low,5,7.8
Male,22,CS,99.67,91.14,71.39,59.2,57.33,6.99,57.98,81.79,A,11.2,No,No,PhD,Low,9,5.8
Male,18,Business,50.86,41.75,57.91,98.47,99.95,0.53,63.39,58.03,F,17.1,Yes,Yes,Bachelor's,Medium,7,4.4
Female,18,Engineering,74.71,66.83,73.52,77.26,63.95,5.12,99.28,98.32,D,13.4,Yes,Yes,PhD,High,3,6.5
Female,22,Engineering,92.85,79.38,73.5,50.88,98.66,2.54,52.31,86.69,B,14.5,No,Yes,PhD,Medium,2,4.3
Female,21,Business,77.31,63.43,82.59,87.2,86.41,4.55,74.79,67.2,B,15.8,No,Yes,High School,High,7,6.4
Male,24,Engineering,70.58,61.04,83.02,59.44,79.26,2.93,66.25,56.77,F,29.8,No,Yes,PhD,High,3,6.3
Male,22,CS,69.67,84.58,86.21,67.75,85.5,9.07,99.5,83.97,C,15.7,No,Yes,Bachelor's,Medium,9,6.2
Male,21,Engineering,86.7,70.09,41.18,66.93,88.17,1.56,61.76,58.86,A,6.6,No,No,High School,Medium,4,7.1
Male,24,Engineering,62.58,84.71,46.12,99.39,70.64,7.03,87.48,91.28,B,6.3,No,Yes,Master's,Medium,6,6.3
Male,20,Engineering,67.76,41.23,83.78,80.6,64.76,9.75,94.48,57.85,F,24.2,No,Yes,High School,Low,3,5.3
Female,18,Engineering,75.725,77.81,71.63,71.14,53.53,4.63,83.18,85.29,A,26.7,No,Yes,High School,High,1,8.5
Female,20,Business,84.54,66.19,66.24,54.83,70.63,7.22,93.24,53.41,A,29.3,Yes,Yes,Master's,Low,8,8.5
Male,23,Engineering,98.01,67.4,81.44,84.96,80.81,5.18,53.16,50.4,A,8,No,Yes,Master's,Medium,10,8.5
Female,20,CS,80.85,72.86,53.41,99.41,65.25,0.47,85.01,81.58,D,15.3,No,Yes,High School,Medium,6,5.6
Male,20,Engineering,77.67,93.14,76.99,97.53,81.96,1.22,59.52,98.67,C,20.8,Yes,Yes,Bachelor's,High,2,8.6
Male,24,Mathematics,54.42,82.77,90.83,86.76,78.97,2.96,88.9,88.57,D,5,No,Yes,PhD,Medium,4,4.6
Female,19,Business,83.07,42.3,71.12,74.81,98.28,7.16,62.25,80.83,C,17.6,No,Yes,Master's,Medium,6,7.6
Male,23,Engineering,89.2,45,65.21,53.6,84.92,3.1,74.98,89.63,A,22.3,No,Yes,PhD,High,8,6
Male,23,CS,89.05,66.25,92.6,98.61,93.03,9.38,57.92,62.16,A,19.9,No,Yes,PhD,Medium,3,4.8
